SYNGAP1	GSTO2
GSTO2	KIAA2022
GSTO2	PARD3B
MDC1	SERPINE2
MDC1	MKS1
MDC1	MYO9B
SERPINE2	GDAP2
SERPINE2	GNL1
ADNP	ATG9A
ATG9A	SMG7
ATG9A	SPRED1
ATG9A	THBS3
MKS1	RFX7
GDAP2	TADA2A
GDAP2	KIAA1219
GDAP2	ERBB2IP
ARL4A	NBN
ARL4A	C14ORF102
NBN	CDC23
NBN	DENND6A
MAK	NFYA
MAK	MIF4GD
NFYA	GABBR1
MIF4GD	MED13L
ANK3	NELL2
ANK3	CDT1
NELL2	EMC8
NELL2	ADD3
NELL2	MYT1L
CAPN12	LEPROTL1
LEPROTL1	TAF8
LEPROTL1	C11ORF51
EMC8	AKR1C2
AGBL3	KPNA5
AGBL3	MRPS35
KPNA5	METTL2B
MRPS35	DHX29
MRPS35	LYRM2
CHMP1A	PRKAB1
CHMP1A	METTL2B
PRKAB1	NSMAF
PRKAB1	KIAA0100
PRKAB1	DIS3L
GOPC	RFC5
GOPC	C17orf49
RFC5	SS18L1
RFC5	TADA3L
SS18L1	LAPTM4B
C17orf49	KDM2A
TADA3L	SMG7
NSMAF	SPRED2
GABBR1	C18ORF21
GABBR1	ETFB
C18ORF21	PPT2
C18ORF21	SCMH1
LYRM2	NARG1
OSBPL11	PTPRM
OSBPL11	TBC1D23
PTPRM	KRBA2
E2F7	THBS3
E2F7	CCDC50
E2F7	STK24
THBS3	ARHGEF2
MBD5	STK24
STK24	GLTSCR2
LDB1	BXDC2
BXDC2	CCDC50
MRPL16	SPG20
MRPL16	IFI44L
SPG20	IKBKB
STAM	PPOX
PPOX	SRRD
PPOX	SRPK2
SRRD	MTMR9
MTMR9	KAT2B
MTMR9	KRBA2
MTMR9	IGSF3
BDH2	FLRT2
BDH2	SNRPG
FLRT2	SUPV3L1
SUPV3L1	METTL3
SUPV3L1	KCNQ2
SUPV3L1	ATP1A1
SNRPG	APOOL
SUV420H1	KDM2A
KDM2A	NR2F1
C1ORF66	SOCS4
C1ORF66	RGS2
SOCS4	TAF8
SOCS4	RNF146
RGS2	PRPF4
ALKBH1	THSD4
ALKBH1	GIGYF1
THSD4	RABEP1
THSD4	ASXL1
RABEP1	DUSP18
ASXL1	IKBKB
ASXL1	KIAA0182
NRM	NRXN1
NRXN1	SLC41A3
SLC41A3	GOSR2
SLC41A3	ADD3
SLC41A3	HDAC6
CDC16	THSD7A
CDC16	CHRDL1
THSD7A	PPP1R14B
CHRDL1	SDHA
SDHA	TBL1XR1
ADD3	DYRK1A
HDAC6	ABR
HDAC6	PRH1
ABR	RNF44
PRH1	GRIA1
RNF44	SYT1
DNAJC17	SMURF1
SMURF1	GNL1
SMURF1	IGSF3
GNL1	KIAA1161
PPP1R14B	KCNQ2
GUF1	FDX1
GUF1	BLOC1S3
FDX1	CPD
KCTD20	SPC25
KCTD20	MTMR12
SPC25	KIF20B
SPC25	SBF1
CHD2	ITFG2
ITFG2	FAM213B
ITFG2	DEAF1
FAM213B	OTUD7B
OTUD7B	GGA2
OTUD7B	THOP1
OTUD7B	CPD
SPAST	ST18
ST18	AKR1C2
ST18	TBR1
AKR1C2	KIF20B
TBR1	PRDM16
KDM3A	IKBKB
KDM3A	TIMM10
IKBKB	CWF19L1
IKBKB	CHD3
PPT2	PLEKHO1
PPT2	PSD3
SCMH1	NOL10
ATL2	RAP1A
ATL2	C11ORF51
RAP1A	KIF20B
KIF20B	PLEKHO1
SBF1	HMG20A
KIAA1161	GNPTG
TADA2A	GDE1
TADA2A	MCM6
TADA2A	CUL4A
GNPTG	THUMPD3
GGA2	AMOTL1
PHF19	THOP1
THOP1	CDC23
THOP1	DIP2A
CDC23	ATP1B1
KRBA2	TCF7L2
LAPTM4B	NOL10
LAPTM4B	MEMO1
TIMM10	NSFL1C
CMIP	LRPAP1
CMIP	HMG20A
CMIP	AMOTL1
LRPAP1	CWF19L1
LRPAP1	PIN1
HMG20A	IRF2BPL
KIAA2022	BET1
PARD3B	STAU2
HINT2	MTMR12
CHD3	PEPD
SPRED1	MAP2K2
BET1	KIAA0408
RNF146	TFAP2C
ASH1L	DIS3L
LEO1	LYAR
LYAR	CCDC34
LYAR	GABRB3
LYAR	GNB5
MIOS	SCYL3
MIOS	FOXP2
SCYL3	RNF160
SCYL3	CIR1
KIAA0408	CUL1
KIAA0408	OSER1
KIAA0408	RSU1
CUL1	METTL3
GPR89B	GPR89A
GPR89B	DNMT3A
GPR89A	C14ORF102
RNF160	C11ORF30
CIR1	CUL4A
C14ORF102	DGAT1
KIAA0100	GDE1
KIAA0100	PINLYP
MYT1L	GRIA2
PIN1	CTCF
CTCF	PINLYP
METTL3	MAGI3
GRIA2	SLC25A27
SLC25A27	MAGI3
PEPD	PQLC2
DPM3	RSU1
DPM3	HNRNPUL1
RSU1	LRRTM2
ACVR1	ARID5B
ACVR1	NCKAP1
ARID5B	MRPL34
MRPL34	TBC1D23
IFI44L	SRRM2
MCTP1	SMUG1
MCTP1	KDM5B
SMUG1	FOXP2
THUMPD3	FAM168B
CCDC34	PQLC2
DGAT1	MKRN2
DGAT1	RNF38
ASXL3	MAP2K2
ASXL3	CRTC3
MAP2K2	ANKRD11
CUL4A	CHD8
PRDM16	C16ORF13
ERI1	MTMR7
MTMR7	MAGI3
MAGI3	RANBP17
ARID1B	C11ORF51
ARHGEF2	GGNBP2
BLOC1S3	ANK2
APOOL	CUL3
PRPF39	GNB5
DENND6A	INTS6
NSFL1C	CSNK1E
HNRNPUL1	MYH10
BCL11A	PRPF4
