GIT2	SSH2
SSH2	ST8SIA2
SSH2	FANCG
MRPL50	NGFRAP1
NGFRAP1	RAB14
RAB14	KHDRBS3
ST8SIA2	METT5D1
ST8SIA2	STK38
METT5D1	PHKG2
KDM3A	NDUFV3
KDM3A	GLUL
NDUFV3	GPS1
NDUFV3	RNF38
SSR2	DIP2C
DIP2C	ALDH1B1
ACTR2	HMMR
HMMR	B9D2
HMMR	GAP43
ADD3	C13ORF23
ADD3	NFIB
ADD3	CHCHD1
C13ORF23	B9D2
GAP43	PAM
GAP43	SBK1
GAP43	ADPGK
GAP43	GLI2
GAP43	PIK3C2B
AKIRIN2	SNX17
SNX17	DHX57
SNX17	MOBKL1A
DHX57	MKS1
DHX57	SRF
MOBKL1A	TCTA
TCTA	TBL2
TCTA	RHOJ
TBL2	MCPH1
CTPS2	SURF2
CTPS2	EXT1
CTPS2	LEMD2
SURF2	ADPGK
CUL4A	ARL4C
CUL4A	EPB41L5
CUL4A	NDST2
ARL4C	CDC34
ARL4C	SULT1A4
DHX35	FGD4
FGD4	EPB41L5
FGD4	GCDH
EXT1	AK3
RNF146	NT5C2
NT5C2	KDM2A
BIN3	1-Mar
BIN3	EIF2AK1
BIN3	EIF4ENIF1
BIN3	FLII
1-Mar	ALG11
1-Mar	FAM98B
CHCHD1	FAM72A
EIF2AK1	FAM168A
FKBP11	REPS1
REPS1	CDR2
PHKG2	SYT1
SYT1	TGS1
SYT1	CEP120
SYT1	KHDRBS3
SYT1	NFKBIA
IQGAP2	EXOC3
EXOC3	MPP6
EXOC3	LRSAM1
PRRC1	CDR2
CDR2	FLII
ATP1B1	PARD3B
PARD3B	FUT11
PARD3B	C3ORF62
AP3S2	RHOJ
AP3S2	ALDH1B1
SP3	FAM168A
ANK2	NARG1
NARG1	RSU1
AACS	SLC7A1
AACS	DTNB
AACS	HK1
AACS	SLC35C2
SLC7A1	KAT5
ANO5	THOP1
ANO5	KAT5
ANO5	SYT17
THOP1	STRA13
ATP6V1H	HK1
ATP6V1H	C6ORF203
ATP6V1H	FOXG1
ATP6V1H	OSGEPL1
DTNB	G6PC3
DTNB	SIPA1L2
GLTSCR2	SIPA1L2
GLTSCR2	ASCC1
GLTSCR2	GABBR1
GLTSCR2	TCF4
SIPA1L2	MEGF10
H2AFY2	RRP1B
H2AFY2	AVL9
H2AFY2	DECR1
RRP1B	ASAH1
RRP1B	FAM160B2
HMGXB3	KAT5
HMGXB3	OAZ2
MRPS5	PHKA2
MRPS5	CXORF23
PHKA2	FRMD4A
PHKA2	CCDC91
PHKA2	ESYT1
PHKA2	RNF111
OAZ2	PCYOX1
PCYOX1	DNM1L
FRMD4A	CHAMP1
FRMD4A	REXO2
FRMD4A	APBB1
FRMD4A	HAUS4
PIGF	AVL9
AVL9	MVK
RGS2	ACACB
ACACB	C9ORF25
SLC35C2	SUCLG2
SUCLG2	GLDC
STRA13	ANKFN1
STRA13	MTX1
STRA13	DCI
ACAT1	BEND4
BEND4	SPDYE6
BEND4	BAZ2B
ASCC3	SPDYE6
ASCC3	PGAM4
SPDYE6	NLRP1
SPDYE6	SPDYE2
SPDYE6	SPDYE2B
SPDYE6	TIMM44
ATP6V0E2	MRPL2
ATP6V0E2	MRPS28
ATP6V0E2	ETHE1
MRPL2	DNAJC5
MRPL2	FARP1
C17ORF79	NLRP1
PHYHIPL	ETHE1
PHYHIPL	TIMM44
PHYHIPL	NCRNA00116
ETHE1	NAPA
SIRT1	PAQR3
PAQR3	POLDIP2
PAQR3	BRCC3
ANKFN1	PILRB
ARHGDIA	C9ORF25
ARHGDIA	DENND5B
ARHGDIA	DENR
ARHGDIA	DCI
ARHGDIA	FKBP8
C9ORF25	ITSN2
C9ORF25	SHARPIN
C9ORF25	MINPP1
CBL	GLTSCR1L
CBL	INPP5K
GLTSCR1L	CDK5R1
GLTSCR1L	RNASET2
GLTSCR1L	TAF3
CCDC6	SLC27A1
CCDC6	CHMP2B
CCDC6	TAF8
SLC27A1	DCAF11
SLC27A1	PI4K2B
SLC27A1	CHAMP1
CHMP2B	ACP6
DENND5B	LPHN2
DENND5B	DRAM2
DENR	HSDL1
FKBP8	KIAA0196
MTX1	SH3YL1
PILRB	HAGH
PILRB	PAPD5
SGK494	SH3YL1
SGK494	KDELR1
PI4K2B	DDX23
PI4K2B	PTBP2
SYT17	ERLIN2
ACRV1	GEMIN6
ACRV1	CAP2
GEMIN6	MRPS17
ASH1L	DYNLL2
DYNLL2	FAM50A
DYNLL2	THTPA
C6ORF203	NDUFS1
CAP2	ATG4B
CXORF23	FAM117B
NDUFS1	SLC25A6
NRM	HAUS7
HAUS7	C12ORF24
OSGEPL1	MRPS17
PHF3	BUD13
BUD13	STX17
BUD13	TANC2
ACP6	MRS2
CCDC91	LIG3
COG6	MRS2
COG6	SPTBN1
MRS2	KPNA1
MRS2	MXRA8
CBX4	MGRN1
MGRN1	HKIAA0174H2AM
HKIAA0174H2AM	RAB24
HKIAA0174H2AM	SMAD1
RAB24	PLP2
RAB24	ITM2A
RAB24	RMND1
IMP3	RMND1
IMP3	GTF2E2
IMP3	H1FX
PANK4	PLP2
ITM2A	RAB4B
ITM2A	SNAP91
CHAMP1	STARD9
SELI	STAT1
STAT1	PLS3
STAT1	RNF111
ESYT1	C9ORF86
ESYT1	MAP3K7IP1
ESYT1	KIAA2018
C17ORF39	PLS3
PLS3	RRP7A
PLS3	MSL2
ITSN2	RRAS2
ITSN2	CCDC109B
OBSL1	RRAS2
OBSL1	SEPX1
MOCS2	AP1S2
AP1S2	GPR180
AP1S2	OFD1
ABHD10	GABBR1
ABHD10	C9ORF142
ASCC1	MYH10
BNIP3L	C9ORF142
C9ORF142	CKAP2
C9ORF142	SNRNP25
CCDC109B	SEC24B
SHARPIN	CD320
CD320	FIP1L1
DNAJC5	PKIA
DNAJC5	ATP5C1
ERP44	IFT46
IFT46	KIAA2018
KIAA2018	C2ORF67
KIAA2018	NHS
NHS	SNF8
TBL1XR1	RAB4B
RAB4B	EMC8
RAB4B	GLT8D1
ACTR1A	ASAH1
ACTR1A	SRSF11
ACTR1A	DDX3X
ACTR1A	SLC35F5
ASAH1	RALY
ARSB	CTSD
CTSD	FAM160B2
FAM160B2	GOLGA6L4
DECR1	TCF7L2
DYRK1A	RASSF2
DYRK1A	GOLGA6L4
RASSF2	MRPS17
HRSP12	RALY
HRSP12	KMT2A
MRPS17	MAK
ING2	POLR3B
POLR3B	SERPINB6
NAB2	RUNDC2A
NAB2	GNPDA2
RUNDC2A	C1QBP
RUNDC2A	DTNBP1
RUNDC2A	IER5
RUNDC2A	GRIA1
RUNDC2A	PIGN
SERPINB6	BOLA2
SERPINB6	EIF2AK3
SERPINB6	KIAA0182
THOC5	ABTB2
ABTB2	CAB39L
ABTB2	DDX23
LIN9	FAM21C
FAM21C	HAUS4
FAM21C	SCRG1
FAM21C	ATG10
NANS	RGMA
RGMA	SEC24B
FAM117B	NGLY1
FAM117B	C4ORF29
FIP1L1	GSS
FIP1L1	CHD8
DFNA5	MT2A
MT2A	MMS19
MT2A	PLA2G7
GDE1	DUSP18
DUSP18	G3BP2
MMS19	RAB34
SEPX1	GPR180
SEPX1	FAM200B
SHISA2	KIAA0196
SHISA2	ARID1B
KIAA0196	TEAD2
COPS2	SMAD1
COPS2	NFATC2IP
GTF2E2	PCSK7
DNM1L	MRPL27
PRKCA	ISCA1
ISCA1	KEAP1
CEP68	RAB2B
CEP68	STX17
CEP68	RABEP1
RAB2B	NPRL2
SYNCRIP	NPRL2
SYNCRIP	GIGYF2
NPRL2	ATG4B
DDX5	GLDC
GLDC	THSD4
THSD4	SFPQ
HAGH	ANKRD11
ATG5	FEM1C
ATG5	CC2D1A
ATG5	THAP9
FEM1C	CHPT1
FEM1C	DUS1L
CC2D1A	PCM1
C18ORF19	HSD17B12
C18ORF19	TFAP2C
HSD17B12	IKBKB
HSD17B12	PLA2G12A
HSD17B12	INHBB
HSD17B12	INO80E
CHPT1	C5ORF22
IKBKB	EFTUD1
IKBKB	PLAA
EFTUD1	APTX
EFTUD1	IREB2
EFTUD1	TATDN3
THAP9	NOP16
C5ORF22	BCAT1
C5ORF22	CHUK
C5ORF22	FOXK2
C5ORF22	KCNQ2
C5ORF22	MYH9
C5ORF22	PHC2
C5ORF22	SLC43A3
C5ORF22	SNRNP70
BCAT1	RAB6C
BCAT1	GALNT16
BCAT1	RNF182
CHUK	C14ORF147
NOP16	DPP3
ATP1A1	C14ORF147
ATP1A1	SPATS2L
SPATS2L	RBP1
SPATS2L	THAP5
SPATS2L	BPNT1
COMMD4	PDLIM4
COMMD4	CREB3
COMMD4	PGM2
COMMD4	PSEN1
PDLIM4	NDRG4
FAM168B	CARKD
CARKD	FAM50A
INHBB	CRTC3
AHCYL1	CHCHD5
AHCYL1	TBC1D7
AHCYL1	ETFB
CHCHD5	HMGCL
AMOTL1	PLAA
APTX	MED15
APTX	INTS7
MED15	PARG
C9ORF89	MTUS1
MTUS1	KIAA0195
FLVCR1	SRPR
SRPR	PARG
SRPR	ATIC
HMGCL	CHAF1B
CHAF1B	RBM14
INO80E	NUAK2
IREB2	ETV3
KIAA0195	GNPDA2
MXRA8	SRRP35
MXRA8	RFX7
C3ORF62	ACTR3B
RALB	RABL2B
RABL2B	KCTD17
RRN3	ETV3
RRN3	RNF160
TATDN3	EXOSC8
CENPN	SMARCE1
CENPN	CDC23
SMARCE1	CKS1B
CKS1B	FTSJ2
CREG1	DHX34
CREG1	PTPN23
CREG1	SCAI
DHX34	SLC43A3
POGZ	EXOSC8
RAB6C	CYTSA
FBXO22	PON2
PON2	SNRNP70
PON2	RC3H2
PON2	SMG7
FOXK2	CAPNS1
KCNQ2	COMMD5
MYH9	NFIL3
NFIL3	SPAG9
NFIL3	GLI3
PHC2	SLC25A12
PTPRM	NSMCE1
NSMCE1	IDH3A
SNRNP70	CAPN12
CKAP2	GGNBP2
H2AFV	PARG
H2AFV	PUS7
PARG	TBC1D20
PARG	SRCAP
INTS7	CSNK1E
CAPNS1	NMT1
CCDC43	ALDH18A1
ALDH18A1	C11ORF67
ALDH18A1	SCG5
COMMD5	EID2
DAPK1	SMG7
DAPK1	LPCAT3
CYTSA	C9ORF93
CYTSA	KLC1
RC3H2	EIF2AK3
ACTR3B	MCCC1
MCCC1	KIAA1191
FAM50A	KIAA1009
RBM14	EML5
FAM45A	C9ORF93
C9ORF93	SBK1
C9ORF93	CPD
STAU2	SAFB2
SAFB2	ADAMTS9
FTSJ2	OXSR1
FTSJ2	MCM6
GNAS	NDN
NDN	DNAJB4
TBC1D20	PTCH1
PTCH1	KCNT2
PTCH1	LRRC8B
PTCH1	FEZF2
GNPTAB	GPR89B
GNPTAB	MYNN
GPR89B	SLC25A12
ARF5	FAM76B
ARF5	RAB2A
FAM76B	DGCR6
AAED1	ALKBH4
AAED1	CIRH1A
AAED1	KEAP1
ALKBH4	C1GALT1C1
ALKBH4	SULT1A3
ABHD14A	CPT1C
ABHD14A	BEX2
ABHD14A	PAQR4
CPT1C	ASB6
CPT1C	EFHA1
CPT1C	ELAVL3
CPT1C	OXSR1
C1GALT1C1	SCUBE1
APITD1	PRPF31
PRPF31	DCHS1
BEX2	KCTD20
BPGM	OXSR1
BPGM	MLH1
C18ORF21	GBF1
C18ORF21	CSRNP2
GBF1	DCHS1
SCUBE1	FAM181A
CDC34	DNAJB4
EFHA1	LRPAP1
EFHA1	FXR2
DCHS1	SULT1A3
DCHS1	FAM118B
SULT1A3	SULT1A4
PAQR4	LRP6
FAM181A	CRLS1
FAM181A	DNAJB9
FAM181A	CSNK1D
FAM181A	CLEC11A
FAM181A	TBCCD1
KCTD20	COG8
FXR2	SIGMAR1
FXR2	C6ORF72
MRPL12	ARL16
MRPL12	ABI2
ARL16	SLC25A29
NDRG4	E2F3
NDRG4	LMNA
NDRG4	C12ORF51
NDRG4	SFRS15
NDRG4	MFGE8
DNAJB4	ABCC5
FEZF2	MKRN2OS
MKRN2OS	COG8
MKRN2OS	SOD2
MKRN2OS	EMP3
CAMK2D	BTBD2
BTBD2	ST7L
CDAN1	EIF3B
EIF3B	TAF3
ABCF3	PEX3
ABCF3	KBTBD4
PEX3	MRPS18B
RICH2	MRPS18B
MRPS18B	CXorf40B
MRPS18B	DUSP3
MRPS18B	NUDT6
MRPS18B	PACS2
BNIP1	C12ORF51
BNIP1	CXORF40A
C12ORF51	MAF1
C12ORF51	SYNRG
CDC45L	MKRN1
MKRN1	TET3
CXORF40A	SSBP4
CXorf40B	HINT2
CXorf40B	HARBI1
DUSP3	SSBP4
SSBP4	TAGLN3
EIF2AK2	TET3
EIF2AK2	SETD5
TET3	PCID2
PCID2	SMG6
SMG6	ARID5A
SMG6	PPAT
CDT1	MFGE8
MFGE8	MCEE
MFGE8	CCS
E2F3	CLEC11A
E2F3	PLXNB1
ERLIN1	KHDC1
ERLIN1	C9ORF85
ERLIN1	PABPC1L
KHDC1	PTPN1
KHDC1	MAF1
SIGMAR1	BRF1
SIGMAR1	TEAD2
SIGMAR1	SLC25A29
SIGMAR1	IER3IP1
C6ORF72	PTPN1
GTPBP3	LMNA
GTPBP3	MPG
LRP8	SYNRG
LRP8	ELAC2
SYNRG	PIM1
PIM1	GAPVD1
COG8	PTRH2
PHF2	KIAA0100
PHF2	NEDD9
KIAA0100	SCAI
KIAA0100	SPATA13
BAP1	CSNK1D
CSNK1D	GK
CRLS1	PPAT
SOD2	MOV10
DNAJB9	HSPB1
SOS1	ARID5A
SOS1	LGALS3BP
ARID5A	PANK2
C9ORF85	MRPS11
MCEE	DGCR6
MPG	DPP6
PABPC1L	C12ORF24
PABPC1L	FBXO36
TEAD2	PLLP
ST7L	MRI1
ST7L	PCSK7
