PLXNB1	PIK3R2
PIK3R2	GSDMB
PIK3R2	PPM1L
G2E3	PPM1L
G2E3	ADCY3
G2E3	CEP250
PPM1L	FLVCR1
GSDMB	GSTO2
GSDMB	KIAA2022
RASA4B	MRPL10
RASA4B	MLH1
MRPL10	FGFR1OP
CCDC175	DUSP14
DUSP14	FOXN2
GSTO2	SYNGAP1
GSTO2	SLCO3A1
GSTO2	PARD3B
GSTO2	DPP7
GIGYF2	STX2
STX2	C10ORF78
SYNGAP1	IDH3A
ELOVL5	MKS1
MKS1	SGOL1
MKS1	RFX7
KIAA1429	PARP16
KIAA1429	THUMPD2
KIAA1429	FBXW11
PARP16	TBP
TBP	SFMBT1
TBP	MAP3K7IP1
MAP3K7IP1	DNALI1
MAP3K7IP1	FAM91A1
MAP3K7IP1	HNRNPA1
DNALI1	FIBP
DNALI1	RAD54L
DNALI1	ASB1
ATIC	ITSN1
ATIC	TIMM9
ITSN1	EXOC2
ITSN1	MAK
IRF2	PLIN3
IRF2	GLUD1
PLIN3	LYST
PLIN3	SCP2
EXOC2	LYST
EXOC2	GPSM1
LYST	GTF3C3
LYST	HDGFRP2
GTF3C3	MEN1
RALGPS1	SFMBT1
RALGPS1	HK2
SFMBT1	C20orf24
CHMP5	NFYA
CHMP5	NFATC2IP
NFYA	KIAA1586
NFYA	GABBR1
HK2	GTPBP8
FAM98B	SLC38A7
SLC38A7	CNOT10
SLC38A7	CYB5B
SLC38A7	GSKIP
FERMT2	NPAT
FERMT2	AGGF1
FERMT2	KDELR1
FERMT2	PRKD1
NPAT	GINS4
ADNP	KDM3B
ADNP	NDUFAF1
KDM3B	CNR1
KDM3B	KIAA1191
CNR1	MAPK3
MAPK3	AKR7A2
KCNT2	LIG4
LIG4	BIN3
LIG4	MAP2K2
SGOL1	C12ORF32
MYO9B	FIGNL1
FIGNL1	PPM1G
FIGNL1	MKRN1
GINS4	LEO1
GINS4	SMARCC2
LEO1	HDGFRP2
GOLGA3	REPIN1
REPIN1	C10ORF84
NSUN7	MTERFD2
NSUN7	PMF1
MTERFD2	CTPS2
MTERFD2	EFCAB7
TIMM9	PDDC1
TIMM9	LYPLA1
EFNB3	ACSF3
EFNB3	KRCC1
ACSF3	GSS
ACSF3	COX10
ACSF3	RIC8B
GSS	LDB2
COX10	IMP4
COX10	SLC35A3
GLDC	RIC8B
GLDC	GFAP
RIC8B	GPRASP2
RIC8B	PET117
RIC8B	DIP2C
GPRASP2	PIGL
LDB2	THUMPD2
LDB2	ASH1L
IMP4	MED13L
MRPS2	GBA
MRPS2	FBXL7
GBA	CREG1
ANK3	NELL2
ANK3	CDT1
NELL2	ADD3
NELL2	NLGN2
NELL2	EMC8
CAPN12	LEPROTL1
LEPROTL1	POLR3A
LEPROTL1	C11ORF51
ADD3	SLC41A3
ADD3	MRPS6
CNOT10	NIF3L1
CEP250	OSER1
CLASP1	LCORL
LCORL	FGFR1OP
LCORL	DPM3
CYB5B	THSD4
THSD4	ALKBH1
THSD4	RABEP1
C22ORF13	LRRC48
C22ORF13	RNF182
C22ORF13	ETAA1
LRRC48	LRCH1
LRRC48	NOSIP
LRRC48	SLC35E2
ACTR6	GTPBP8
GTPBP8	FBXL5
FGFR1OP	PIGK
FGFR1OP	MAP4
PIGK	PCBD2
PIGK	RND2
ELOVL2	GSTM5
GSTM5	GPHN
GSTM5	MVD
GSTM5	CREG1
GPHN	NSDHL
GPHN	FAM168B
MVD	ADAM22
MVD	GNPTG
MVD	C18ORF1
MVD	SMG6
NSDHL	STX6
NSDHL	DHDDS
ABCC5	NOTCH1
ABCC5	AGBL3
ABCC5	DDX26B
NOTCH1	SPRED2
NOTCH1	PHTF1
AGBL3	MRPS35
AGBL3	RAB1B
AGBL3	KPNA5
CRY1	MEN1
MEN1	GOPC
MEN1	THAP7
DDX26B	GOPC
GOPC	RFC5
GOPC	PTRH2
MRPS35	DHX29
MRPS35	PPP5C
SPRED2	SBK1
CHMP1A	METTL2B
CHMP1A	KIAA1632
CHMP1A	PRKAB1
METTL2B	KPNA5
DHX29	PDGFD
PPP5C	LYRM2
PPP5C	GNAS
AGGF1	NEUROD6
AGGF1	LSMD1
NEUROD6	LMF2
THAP7	C9ORF16
THAP7	MED31
CCDC66	PIAS2
PIAS2	C9ORF16
SBK1	PRR14
PRR14	CUL4A
GABBR1	C18ORF21
GABBR1	HAUS7
GABBR1	ETFB
C18ORF21	KDELR1
C18ORF21	SCMH1
C18ORF21	C10ORF78
