ACAD9	ISG20L2
ISG20L2	CCDC49
ISG20L2	PLBD2
ALKBH5	TASP1
ALKBH5	NFKBIA
ALKBH5	RNF175
TASP1	FUZ
ANKRD39	BTAF1
BTAF1	NRBF2
ARHGEF39	STAG3L5P-PVRIG2P-PILRB
STAG3L5P-PVRIG2P-PILRB	KEAP1
STAG3L5P-PVRIG2P-PILRB	RAD54B
STAG3L5P-PVRIG2P-PILRB	KIF3C
ARL2BP	SS18L1
SS18L1	SPSB3
ASPH	RBM27
ASPH	NARS2
RBM27	CPAMD8
RBM27	FAM53B
RBM27	SPSB3
RBM27	MTRF1
BRMS1	CREBZF
BRMS1	GSTCD
CREBZF	PJA1
NRBF2	NHEJ1
NRBF2	RAI1
C12orf5	ATL1
C12orf5	MRPL11
C12orf5	PLCL2
C12orf5	RNF38
ATL1	ETV3
ATL1	CSNK1G2
ATL1	LRP11
C17ORF53	POM121
POM121	SMPDL3A
CELF4	NFKBIA
CELF4	ISCA2
CLTA	MED24
MED24	RAI1
CPAMD8	THOC5
PJA1	ST6GAL1
CUL3	PBX1
CUL3	LEO1
PBX1	LIMCH1
DNAJB5	RNF175
EAPP	NFYB
NFYB	ISCA2
FAM53B	PLEKHA8
PLEKHA8	AKTIP
PLEKHA8	FGFR1OP
PLEKHA8	PPM1D
PLEKHA8	PREB
FUZ	GPR27
GPR27	LHX9
LHX9	TBC1D23
GRHPR	HDAC4
GRHPR	NPC1
HDAC4	NSF
HDAC4	NPTX2
GSTCD	TBC1D23
NSF	PCNXL3
KDM2B	NPTX2
KEAP1	LYPD6
KIF3C	SMPDL3A
SMPDL3A	RAI1
RAI1	PRKRIR
RAI1	DVL3
RAI1	NME4
NHEJ1	PDE5A
PCNXL3	CCDC49
PCNXL3	CEBPG
PAQR3	PLEKHF2
PLEKHF2	PCNXL2
PLEKHF2	SPSB3
PLEKHF2	SLC4A10
PDZD4	RAD54B
ST6GAL1	CCDC47
ST6GAL1	TBC1D19
PLCL2	KIAA0355
SPSB3	SLC37A3
PRKRIR	CAB39
PRKRIR	FMNL2
DVL3	CAD
DVL3	MFAP1
DVL3	EYS
SAP30	NOL12
NOL12	RRP7A
STAU2	GDI1
GDI1	TMEM93
ABHD3	SYP
ABHD3	RABL3
SYP	PPP2R5D
ACOX1	PIGU
PIGU	DCAF5
PIGU	MRPS22
ACYP2	MRPL38
ACYP2	PLBD2
MRPL38	MFAP1
MRPL38	PHF19
ALDH18A1	TCF7L1
TCF7L1	MED4
TCF7L1	KDM3A
TCF7L1	NSUN4
AP3S2	DTNB
DTNB	TIMM22
APAF1	HDDC3
HDDC3	DCUN1D3
HDDC3	SUCLA2
ARFGAP3	RABL3
RABL3	TIMM22
ARHGAP42	RGS2
ARHGAP42	CENPP
ARHGAP42	MNAT1
ARHGAP42	SUCLA2
RGS2	ANKMY2
RGS2	DIP2A
RGS2	SMPD3
RGS2	ATPAF2
RGS2	MRPL22
ARSK	BAIAP2
BAIAP2	HAX1
BAIAP2	LONRF1
BAI3	PGM1
BAI3	E2F5
PGM1	PTAR1
HAX1	LAMB1
HAX1	NRXN1
C1ORF21	LRCH2
LRCH2	LRCH1
LRCH2	FAM102A
CAB39	SUPT16H
CBLL1	E2F5
CBLL1	CETN2
CHML	RHBDL3
CHML	FAM102A
RHBDL3	MYO19
RHBDL3	IMMP1L
CNOT3	MRPL24
MRPL24	PLBD2
COCH	PLBD2
COCH	MRPS22
PLBD2	PCDHB2
DCAF5	PPP2R5D
DNAJB9	HMG20A
HMG20A	PHF19
DNAJC25-GNG10	MED4
DNAJC25-GNG10	MBIP
DNAJC25-GNG10	RABGGTB
MED4	KLRAQ1
DNAJC27	PPP2R5D
DNAJC27	GRIA1
TIMM22	EFR3B
MFAP1	SUCLA2
EYS	LMNB2
FAF2	LAMB1
FAF2	MTA2
LAMB1	FAM110A
LAMB1	NT5C3L
FAM102A	SNX1
FAM110A	PIM3
FAM110A	SMIM20
FAM210B	SLC25A24
FAM210B	RBM14
SLC25A24	C5ORF33
FAM83D	LRCH1
GDF11	PIM3
IMMP1L	RBM14
IMMP1L	NUBP1
KCMF1	LONRF1
LONRF1	PDHX
KLF3	POMT1
POMT1	RABGGTB
NT5C3L	CHRDL1
NT5C3L	GOPC
NT5C3L	RNF26
NT5C3L	TBC1D32
RBM12	STARD9
STARD9	ATPAF2
STARD9	MBOAT2
STARD9	PTK2
C5ORF33	OFD1
C5ORF33	SERTAD3
KDM3A	DOK4
KDM3A	GALNT7
KDM3A	C11ORF30
KDM3A	QSOX1
KDM3A	RIC8B
AARSD1	PTK2
AARSD1	RNF145
PTK2	CDC23
ABR	APOA1BP
APOA1BP	LPHN2
AKTIP	HSDL2
LPHN2	NQO2
ARL5B	TCEAL2
TCEAL2	C2ORF64
TCEAL2	SERHL2
BCL9	HIC2
BCL9	B4GALNT1
HIC2	SLMAP
BCR	CAPN2
BCR	GRPEL2
CAPN2	MTRR
CAPN2	PARL
MTRR	IGDCC3
MTRR	GPR137B
CCDC47	DNAH10OS
DNAH10OS	SPPL2A
CLPP	KATNA1
CLPP	INSIG1
KATNA1	MIS12
DCUN1D5	MEF2A
DCUN1D5	RNF146
MEF2A	STK40
SPPL2A	MIS12
DPH3	PRKACA
PRKACA	SLC11A2
DSEL	HADHB
HADHB	FGFR1OP
FAM158A	MBOAT2
FAM158A	LIG1
ENSA	ERI3
ENSA	FARSA
ERI3	PRKCSH
PRKCSH	PEMT
PRKCSH	STX10
PRKCSH	SLMAP
FGFR1OP	FXR2
FGFR1OP	MRPS12
FGFR1OP	STK40
FGFR1OP	STX10
FXR2	MIS12
FXR2	SLC11A2
FXR2	TBC1D10A
GINS4	SERHL2
SERHL2	PCDHB11
BAT4	PPM1D
BAT4	POLE2
PPM1D	CHCHD3
PPM1D	PNO1
INSIG1	NNT
KLF7	PREB
PREB	MBD3
LGALSL	TBC1D10A
LGALSL	SLC5A3
NQO2	LYSMD1
NQO2	PRPF31
NQO2	NEIL2
NQO2	PXMP4
MAGEE1	SLC11A2
MAGEE1	PRR13
MBD3	SLC39A1
MLST8	MND1
MND1	SGK494
SGK494	CCDC92
PCDHB11	LYSMD1
PCDHB11	FAM63B
CHCHD3	PEPD
CHCHD3	CTCF
SEC14L1	SLC39A1
AATF	RAB3D
RAB3D	ETV3
RAB3D	GPT2
ASCC2	CSNK1G2
AIP	SGOL2
AIP	PDHB
SGOL2	CHEK2
C19ORF12	GLRX3
GLRX3	CHEK2
CHEK2	C11ORF49
CHEK2	CDC20
TBCK	TBC1D7
TBCK	STXBP1
TBC1D7	DNAJC18
ARID1B	RNF160
RNF160	C18ORF32
RNF160	MED13
ATG5	DAB2IP
ATG5	CHCHD7
DAB2IP	LIPG
BIRC6	CDC20
CDC20	CHCHD7
CUL1	LEO1
TMEM93	SRPK2
TMEM93	DPYSL2
GPT2	PHF23
PHF23	CFAP58
PHF23	CSTB
PHF23	DIRC2
PHF23	FSCN1
PHF23	IMP4
PHF23	INCENP
PHF23	NARS
PHF23	OAT
PHF23	HYI
PHF23	SENP2
ARL6IP5	RRP7A
RRP7A	FAM200B
RRP7A	C6ORF174
COG1	MTRF1
COG1	EFS
MTRF1	HMMR
CSNK1E	ICE2
ICE2	SLC37A3
ICE2	LYRM5
DYNC1LI2	EFS
DYNC1LI2	C11ORF73
EEFSEC	RCC1
EEFSEC	PCID2
RCC1	NPLOC4
RCC1	C6ORF174
FAM200B	CLK3
CLK3	FSCN1
NPLOC4	OIP5
LIMCH1	DYNC2H1
LIMCH1	CCDC88A
MYO9B	SERTAD4
MYO9B	NFYC
SERTAD4	MRPS28
CCDC92	SC5DL
SC5DL	ORMDL3
SC5DL	C14ORF119
RFX3	BEX2
BEX2	GLTSCR1L
MRPS28	FAM120B
MRPS28	C12ORF62
MRPS28	PIKFYVE
ANKS1A	FAM229B
ANKS1A	5-Mar
FAM229B	MAP7D1
AP3M2	5-Mar
C9ORF24	PRR13
C9ORF24	HAUS4
PRR13	PARN
CEP250	LPIN2
LPIN2	PNO1
PEPD	CHD8
PEPD	SRPK1
FAM63B	RAD51
SLMAP	LIN52
SLMAP	POU6F1
SLMAP	RBM15B
SLMAP	C12ORF35
IGDCC3	NRCAM
KIFC1	ADD3
ADD3	RNF146
ADD3	DPYSL4
LIN52	GPBP1L1
PNO1	PIGK
PNO1	CREM
GPR137B	ANP32B
GPR137B	NUDT15
RAB2B	CPXM1
RAB2B	CHKB
CPXM1	CMAS
CPXM1	PPP5C
CPXM1	EXOSC1
CPXM1	NES
C10ORF140	AHCTF1
AHCTF1	FAM171A1
ABCB8	INCENP
ABCB8	MSL1
ABCB8	PAPD7
ADIPOR1	CSTB
CSTB	PCYT1A
AFTPH	GSR
AFTPH	DIAPH1
AFTPH	FKBP7
GSR	C1ORF35
GSR	NR4A2
GSR	BICC1
ALKBH4	POC1B
POC1B	ARMCX4
POC1B	HYI
AMD1	DEF8
DEF8	HGS
DEF8	SCML2
AP3D1	IMP4
AP3D1	RCOR2
IMP4	C1orf115
APXMP3	HECTD2
APXMP3	DDHD2
HECTD2	PRRT2
ARMCX4	HGS
ATN1	MSL1
MSL1	C7orf26
BCAT2	LUC7L2
LUC7L2	IRS2
LUC7L2	PYGO1
BCL2	JARID2
JARID2	PRRC1
JARID2	LASP1
C1ORF35	DIRC2
C2orf42	SENP2
C7orf26	GABBR1
CAPN7	PCYT1A
CAPN7	KIF3B
CFAP58	MED15
DDHD2	SRCAP
HGS	HTT
DIAPH1	HMBOX1
FKBP7	NRD1
FLNA	SUPT6H
SUPT6H	RHOT1
SUPT6H	RABL4
FNDC3A	LASP1
HDAC6	SS18
SS18	CDK11A
SS18	CNOT8
PRRT2	OAT
HYI	ICE1
ICE1	FAM168B
ICE1	SNX4
ICE1	MTSS1
FAM168B	DDB2
FAM168B	C16ORF13
FAM168B	FAT3
FAM168B	HMOX2
FAM168B	RNF123
FAM168B	SPTBN1
FAM168B	ASH2L
RABL4	SCML2
PRRC1	KIF3B
KDM7A	OAT
PYGO1	MOSPD1
MED15	NTM
MOSPD1	RHOT2
RHOT2	FAM91A1
NARS	NPRL2
NR4A2	NKIRAS2
NTM	ANTXR2
PLEKHG3	SNX4
FAM91A1	CCDC144A
FAM91A1	HIST3H2A
DYRK1A	SPATA13
SPATA13	PTAR1
NCKAP1	NUDT10
NUDT10	HSPA5
NUDT10	IRF2
PRPF39	BCL7C
BCL7C	SENP3
BTBD3	RAB14
RAB14	C21orf91
RAB14	CASP6
C14ORF119	OSER1
C14ORF119	CASP6
C14ORF119	C12ORF24
OSER1	LDOC1L
OSER1	DNAJC17
OSER1	PPM1F
OSER1	TAOK3
OSER1	CYTH2
LIG1	PKD2
INTS6	DCTPP1
DCTPP1	FAM76B
TCF3	CADPS
CADPS	SENP5
ANP32B	ICT1
ICT1	AVL9
ICT1	RPUSD4
ANKMY2	KRI1
DIP2A	KIF18A
DIP2A	GALE
DIP2A	MBTPS1
DIP2A	NAP1L1
LYPD1	TBC1D13
LYPD1	SYT1
TBC1D13	SYCE2
EZH1	CCDC111
EZH1	NAB2
CCDC111	RBM15B
MAP7D1	PRPF31
FAM98B	DPYSL4
SSR2	ABI2
ABI2	SNW1
C11ORF30	GIGYF1
C11ORF30	MIB1
GIGYF1	CHD2
CHD2	SRPK1
ANKRD13D	KANSL3
KANSL3	FAM189B
KANSL3	SACS
ATP6V1G2	CLK2
ATP6V1G2	B3GALNT1
CLK2	MTSS1
B3GALNT1	ITSN1
C17orf49	HMOX2
C17orf49	SACS
CCNG2	FERMT2
FERMT2	SPTBN1
CENPJ	DNAJC18
DNAJC18	SPTBN1
SPTBN1	GNE
SPTBN1	LPCAT4
SPTBN1	MED10
C16ORF13	GATAD1
C16ORF13	EXOSC2
C16ORF13	NR6A1
FAT3	RGPD2
GNE	PATZ1
GNE	PLCG1
INADL	RNF123
INADL	SETD1B
RNF123	SAMD12
LPCAT4	ADCY1
MED10	DUSP11
SNRNP70	RGPD2
RGPD2	KIAA1033
FLII	EIF2B2
EIF2B2	AP4E1
DDX3X	CHD3
CHD3	IVD
CHD3	HERC3
CREM	PDCD11
CREM	CENPH
CREM	CGGBP1
HAUS8	RINT1
RINT1	NSUN2
PDCD11	PPP1R18
PPP1R18	NSUN2
NSUN2	RANGRF
MIB1	CYB5R3
PARN	GUSB
PSMD12	ATP1B1
ATP1B1	DPY19L3
ALG6	THAP7
THAP7	RANGRF
APP	INTS12
APP	PPP4R2
INTS12	ASXL3
INTS12	SLC35E3
INTS12	STXBP6
ARL4A	BIVM
BIVM	PPP4R2
ASXL3	HKIAA0174H2AM
HKIAA0174H2AM	SNAPC3
SLC35E3	ST3GAL2
SLC35E3	PHF2
NTRK3	SDE2
SDE2	POLA2
SDE2	ATL2
PMPCA	CNP
CNP	MAF1
PTPN1	RANGRF
GLTSCR1L	DNAH10
GLTSCR1L	APBB1
GLTSCR1L	GNG3
GLTSCR1L	PXMP4
MRPS36	C12ORF35
MRPS36	RUFY2
MRPS36	KLHL9
C12ORF35	FRMD6
GCSH	DCAF12
GCSH	PDAP1
DCAF12	C12ORF53
AIFM1	GPR19
AIFM1	LUZP1
