AAAS	DNAJA2
DNAJA2	C16ORF13
ACBD7	PSMD9
PSMD9	ARHGEF12
PSMD9	HEY1
PSMD9	KLHL7
ACER3	C2ORF69
ACER3	PPM1K
C2ORF69	CSNK1A1L
C2ORF69	RACGAP1
C2ORF69	RNFT2
AGPAT5	BOLA2
BOLA2	NEK2
BOLA2	CCNB1
ANLN	PCF11
PCF11	RAPGEF2
ARHGEF12	MKKS
ARMC8	CIAPIN1
CIAPIN1	KIAA0430
ATG10	MAPK8IP3
ATG10	MEF2BNB
ATG10	SMYD3
MAPK8IP3	DAPK1
MAPK8IP3	NUP133
BAI3	CCDC117
BAI3	CTBP2
CCDC117	CDC45L
CCDC117	SIVA1
BLZF1	CTBP2
BLZF1	CDK13
BLZF1	PHC2
BOC	SIPA1L2
BOC	FUT9
BOC	POM121C
SIPA1L2	PDIK1L
NEK2	TFG
BRF1	POP7
BRF1	LYRM1
BRF1	SLC25A11
POP7	CHFR
POP7	C22ORF39
BUB1	CSNK1A1L
CSNK1A1L	CDC20
CSNK1A1L	GPSM2
CSNK1A1L	ILKAP
C11ORF49	PFDN2
C11ORF49	IER3IP1
PFDN2	FBXO21
C16ORF13	RAB2B
C16ORF13	SDR39U1
RAB2B	PHF20L1
RAB2B	SPPL2A
C17orf49	SIVA1
C17orf49	GPS1
C22ORF39	MTRF1
C22ORF39	CTNNAL1
MTRF1	MFSD1
MTRF1	SPPL2A
MTRF1	MXI1
MTRF1	GTF2F2
CDC45L	EXOSC5
CCDC77	GAS2L3
CCDC77	POLR1C
GAS2L3	RACGAP1
GAS2L3	NCCDC56
GAS2L3	PBK
CCDC85C	MEF2BNB
CCDC85C	RASAL2
MEF2BNB	PAF1
MEF2BNB	NBPF14
CCNB1	CKAP5
CCNB1	FGFR1OP
CCNB1	PSRC1
CDC20	SMIM13
EXOSC5	DLG3
CDK8	CCDC123
CCDC123	LAGE3
CCDC123	DNAL1
CDKN2AIP	SLC2A3
SLC2A3	RACGAP1
CDKN3	PBK
CDKN3	KCNG1
PBK	MPPED2
PBK	PDIK1L
LAGE3	PTS
LAGE3	SNRNP35
CHFR	PPDPF
KIAA0430	RNFT2
CKAP5	HBS1L
CLOCK	PSRC1
CLOCK	NUP98
CLOCK	ORC5L
GPSM2	PDS5A
CTNNAL1	COPS4
CTNNAL1	FASTKD1
DKK3	SOX9
SOX9	DNTTIP1
SOX9	TAMM41
DLG3	PAF1
DNTTIP1	FNDC3A
EED	KIF15
EED	TIMM17A
KIF15	PPM1K
FAXC	FGFR1OP
FBXO21	MRPL34
MRPL34	C11ORF57
FNDC3A	ATOX1
GPS1	PHF20L1
PDS5A	IGF2BP3
PDS5A	PLK1
HEY1	POLR1C
POLR1C	IPO8
POLR1C	MEX3B
HIST3H2A	KIAA0368
HIST3H2A	MTIF3
KIAA0368	RASSF2
IGF2BP3	ATP11C
ILKAP	MVB12A
IPO8	MEGF9
RASSF2	MXI1
PTS	PRR13
PTS	MTIF3
MEGF9	SOS2
MKI67	SMIM13
MKI67	PSMD10
MKI67	TFG
MTSS1	SDR39U1
SDR39U1	NUDCD2
MVB12A	RAPGEF2
MZT1	SNCA
SNCA	ORC5L
NCCDC56	SNX13
PLK1	KIF4A
PHC2	TAMM41
KIF4A	ARHGAP12
RABL2B	TAMM41
RABL2B	CMC1
TAMM41	RNF34
SLC38A10	THUMPD1
THUMPD1	ELK4
ORC5L	PAN2
AK2	IRF2BP2
IRF2BP2	PAQR3
AKAP12	ASF1B
AKAP12	RAP2C
AKAP12	TFAM
AKAP12	GLRX5
ASF1B	LEAP2
ASF1B	MRS2
AMN1	TBC1D32
AMN1	DCAF5
TBC1D32	PCSK7
ANGPTL3	SCLT1
ANGPTL3	OS9
ANGPTL3	PLGLB1
SCLT1	C21orf91
SCLT1	LASS2
SCLT1	CD302
SCLT1	STK24
LEAP2	LAPTM4B
LEAP2	OS9
BAG5	C9orf78
BAG5	GNG10
C9orf78	TBCB
BET1	MRS2
BUD13	NFU1
NFU1	CNOT6L
NFU1	G6PC3
NFU1	GNPDA1
NFU1	PAQR3
NFU1	SPG21
C16orf92	IFT46
C16orf92	DARS
IFT46	DCAF12
IFT46	STK24
IFT46	KRBOX1
IFT46	PCSK7
C1D	TADA3L
TADA3L	PPIH
TADA3L	KLHL7
C21orf91	LRIG1
C6orf89	CLPX
C6orf89	PAQR3
CLPX	EIF2S2
TBCB	GRLF1
TBCB	FANCM
CD302	NMU
NMU	KIAA1211
LASS2	EIF2S2
LASS2	PIK3C2B
COPZ1	NSUN6
NSUN6	NCS1
CPEB2	DDX42
DDX42	PAQR3
CRK	NUDCD1
CRK	C3orf58
CRK	STX8
NUDCD1	FGD4
NUDCD1	LRIG1
CWF19L2	PRDX4
PRDX4	LRIG1
DARS	ELK4
DCAF10	ESYT1
DCAF10	LRRC20
ESYT1	FIP1L1
ESYT1	PALLD
ESYT1	SLC35A3
DCAF5	GPR137C
DCAF5	HNRNPUL1
DPM2	PPIH
PPIH	PDAP1
PPIH	RILPL1
PPIH	TAF2
E2F5	RBM28
RBM28	HIAT1
RBM28	CELSR1
RBM28	GABPB1
EDRF1	MAP4K3
MAP4K3	MAP2K4
MAP4K3	NSUN5
MAP4K3	SDF2
EEA1	MANBA
MANBA	RILPL1
ELK4	PCDHB11
FIP1L1	PDAP1
FIP1L1	SMO
FAM13B	NFYC
NFYC	CASP3
NFYC	PSENEN
FANCD2	KIF22
FANCD2	HECTD1
FANCD2	HSBP1
FANCD2	ME2
KIF22	SPAG5
FBXW7	NCS1
FBXW7	GATAD2A
FBXW7	MAPKAPK5
NCS1	MAP2K4
NCS1	PPP6R2
NCS1	SMPD3
FGD4	NFX1
FGD4	NOL11
PDAP1	MRPS31
FUT9	KIAA0226
GNG10	KBTBD2
GNG10	SETDB1
IFT20	LAPTM4B
STK24	TERF2
IQGAP3	CASP3
IQGAP3	KNSTRN
CASP3	MED27
KBTBD2	CENPU
KIAA1211	OLFM1
OLFM1	MKKS
SPAG5	ATAD5
SPAG5	ANK3
LRIG1	MDC1
MAP2K4	TERF2
MRPS31	MAPK14
NOL11	CCDC59
RP2	ST7L
ST7L	ATP6V1G2
NUDT5	PCSK7
PPM1D	SMIM4
SMIM4	SETDB1
CELSR1	SLC35F6
CELSR1	BPGM
CELSR1	PRR4
CELSR1	RASGRP1
SLC35A3	CHORDC1
SMARCC2	SLK
SLK	CPSF1
SLK	ASF1A
ATP6V1G2	SDAD1
ATP6V1G2	ANGEL2
ATP6V1G2	MLEC
ANK3	SPTBN1
ANK3	PAN3
SPTBN1	SOX12
SPTBN1	EIF4E3
ARHGAP12	ST3GAL2
ST3GAL2	C1ORF21
ST3GAL2	DUS4L
ST3GAL2	GDE1
ST3GAL2	PCDHGC4
ST3GAL2	AURKB
GRLF1	ATP11C
GRLF1	SDCCAG8
MED27	SPC24
