STAU2	MLLT11
MLLT11	PPP1CB
MLLT11	SULT1A4
NOMO1	DNAJB9
NOMO1	NOMO3
NOMO1	C14ORF169
NOMO1	DPY19L3
DNAJB9	DDX47
DNAJB9	PXDN
DNAJB9	DHX29
NOMO2	NOMO3
NOMO3	GLUD1
SUV420H1	CAPN12
CAPN12	SLC25A27
ABR	MTMR12
ABR	APBB1
MTMR12	TEX2
AKAP1	PPDPF
AKAP1	DUSP18
PPDPF	KDM6B
PPDPF	SRF
C16ORF13	LIG3
C16ORF13	JARID2
C16ORF13	THSD7A
LIG3	GALNT1
LIG3	POMGNT1
KDM6B	APBB1
RBM23	IFT20
RBM23	ANKRD11
IFT20	PWWP2A
IFT20	MDM2
TEX2	RNF146
RNF146	HIP1R
RNF146	PDS5A
RNF146	KPNA1
PPP1CB	SHF
PPP1CB	ARID1B
PPP1CB	RNF160
PTPRM	SHF
PTPRM	SLC25A27
SHF	DSCAM
KIAA1219	SULT1A3
KIAA1219	ERBB2IP
SULT1A3	SULT1A1
SULT1A3	SULT1A4
SULT1A1	CNTROB
SULT1A1	PGRMC1
SULT1A4	DIP2A
FBXO11	DNAJB11
DNAJB11	PET100
DUSP18	PPHLN1
GALNT1	GPRASP2
GALNT1	CUX2
GPRASP2	AMOTL1
POMGNT1	AP3M1
POMGNT1	CNIH1
POLR1C	PDIA6
POLR1C	JUP
PDIA6	SRF
TCF3	B4GALNT1
B4GALNT1	OSBPL8
ICE2	EPHB2
ICE2	PSMG4
EPHB2	GCN1L1
HIP1R	MAF1
HIP1R	NDRG4
HIP1R	ST3GAL6
HIP1R	GPS1
MAF1	FAM168A
MAF1	CNTROB
NDRG4	FAM21A
CNTROB	ARHGAP5
CNTROB	TANC2
CNTROB	GCN1L1
DYRK1A	HERPUD2
DYRK1A	STT3B
HERPUD2	DNAJB5
HERPUD2	FAM40A
DNAJB5	KDM4B
DNAJB5	FAM200B
DNAJB5	SRPK2
NFIA	CTNNB1
NFIA	MTRNR2L12
NFIA	CASK
NFIA	KLC1
CTNNB1	ST18
NR2F1	SYT1
SYT1	ST8SIA2
STMN4	LMBR1L
LMBR1L	GOPC
LMBR1L	MRPS14
LMBR1L	GRIA2
BCL11B	MTRNR2L8
BCL11B	PRPF39
MTRNR2L8	MTRNR2L12
MTRNR2L8	BCL11A
JUP	SF3B1
JUP	NAP1L4
MTRNR2L12	PET100
AP3M1	MASP1
AP3M1	INTS6
SF3B1	LCORL
PSMD12	PRKACB
PRKACB	GLUD1
CNIH1	MLL5
MBNL1	SNF8
MBNL1	PC
MBNL1	GIGYF1
SNF8	KIAA2022
SNF8	HMGXB4
MSL2	PXDN
MSL2	PAPD5
PXDN	PSD3
PXDN	ELAVL2
GLTSCR1L	PIK3R2
GLTSCR1L	MXD4
GLTSCR1L	DDX23
GLTSCR1L	BTRC
PIK3R2	CHD8
PIK3R2	NEDD9
C14ORF169	FBXO44
C14ORF169	DNMT3A
C14ORF169	NINL
SPATA13	FBXO44
SPATA13	AKAP9
FBXO44	FAM45A
ETFB	DIP2A
DIP2A	LDB1
DIP2A	ATRN
STK24	MEMO1
STK24	NARG1
MEMO1	JMY
MEMO1	CTTNBP2
PSD3	RNF115
PSD3	METTL5
PSD3	SNRNP40
DVL3	PC
PC	NKIRAS2
PC	ADD3
PC	ATIC
KDM4B	METTL5
KDM4B	MPV17
METTL5	RNF5
METTL5	MYO9B
KIAA0100	STX12
KIAA0100	PIGL
STX12	LARP4B
STX12	PPM1D
KLHL28	EP300
EP300	SMURF1
FOXG1	DHDDS
DHDDS	SMURF1
PWWP2A	ASH1L
PWWP2A	C14ORF126
PWWP2A	RNF115
SMURF1	CUL3
JMY	ASH1L
C14ORF126	C5ORF22
C14ORF126	NBEA
RNF115	MLH1
RNF115	KDM3A
SSH1	SLC25A29
SSH1	FLRT2
SSH1	RGS12
SSH1	ACTR6
SLC25A29	ARHGAP5
SLC25A29	SFRS15
C5ORF22	BTBD9
C5ORF22	STXBP5
LCORL	METTL14
MLH1	C12ORF41
C12ORF41	KLC1
NBEA	MRPL34
NBEA	ASXL3
PDS5A	NMT1
NMT1	MXD4
PIGL	CTCF
DDX47	SEMA6A
DDX47	PLEKHO1
KDM1B	MRPS14
MRPS14	FAM168A
INPP5K	MPHOSPH6
INPP5K	BANP
INPP5K	NUAK1
MPHOSPH6	PTMS
MPHOSPH6	MARCKS
MPHOSPH6	SYF2
KIAA2022	RAD51C
SMCR7L	KPNA1
SMCR7L	MBD5
SMCR7L	RFX7
MXD4	FHOD3
HMGXB4	RNF38
HMGXB4	CAT
HMGXB4	GGNBP2
EXOSC9	ADD3
EXOSC9	CSNK1E
MRPL34	ATP1B1
MRPL34	GTF2IRD2
OSER1	MASP1
MASP1	GPS1
MASP1	PPM1D
MASP1	FOXP2
FLRT2	NRXN1
RGS12	EIF2AK2
RGS12	PPP5C
RGS12	CUL1
RGS12	FAM168B
ARHGAP5	ATP11B
BANP	CHD1
PTMS	PFKL
RAD51C	LRPAP1
RAD51C	TBC1D23
ACTR6	ILF2
ATP11B	DDX3X
METTL14	KCTD6
PHF3	SNRNP40
KCTD6	BRWD1
AMOTL1	HIVEP3
FAM168A	SNW1
SRRM2	STT3B
GABRB3	DHX29
KRBA2	C10ORF140
KRBA2	RAB2A
C10ORF140	LRRC41
LRRC41	MBD5
LRRC41	SLC16A9
PPHLN1	SRCAP
ILF2	MRPL16
MRPL16	SRGAP3
PPP5C	PFKL
HIVEP3	MCL1
LRPAP1	MCL1
MPV17	MLL3
PEPD	CASC10
CASC10	RNF5
CASC10	AP2S1
CASC10	C7ORF44
RNF5	MPHOSPH8
RNF5	PBX1
LPHN2	ERBB2IP
LPHN2	ST18
ERBB2IP	RABEP1
SCP2	INTS6
MBD5	HAX1
MYH10	MARCKS
MARCKS	DPYSL2
GOPC	NCKAP1
OSBPL8	ATRN
ATRN	ADNP
RNF38	PTEN
RNF38	KIAA0182
AP2S1	SPAST
PPM1D	MIB1
PPM1D	GIGYF2
ST18	NDST4
NFIB	ELAVL3
ELAVL3	IRF2BPL
ELAVL3	SSR2
NAP1L4	GLUL
GTF3C4	IRF2BPL
GTF3C4	SETD5
IRF2BPL	KCTD20
HAX1	MRPL50
SLC25A27	C17ORF63
SLC25A27	LRRC37A2
MAT2A	PHF21A
MAT2A	TBL1XR1
PHF21A	DDX23
KCND3	LRRC37A2
LRRC37A2	LRRC37A
FAM21A	SMARCE1
CAT	CSDE1
THAP5	LRRC37A
DDX23	SCUBE1
FHOD3	KLHDC10
SCUBE1	KCTD20
ERI1	ELAVL2
CUL3	FAM168B
GRIA1	CASK
SMARCE1	SPAG9
SMARCE1	CAP2
GLUL	BIRC6
GLUL	PSMC5
GCN1L1	FOXP1
GCN1L1	SMARCC2
SMARCC2	NME4
FAM200B	TBR1
PFKL	SARM1
PFKL	MED13L
MYT1L	SYF2
C11ORF30	SFRS15
STAM	SSR2
RAB18	LEO1
RAB18	ST8SIA2
LEO1	NME4
C7ORF44	QRICH1
GLUD1	CCPG1
GLUD1	CHD2
EBF4	PSMG4
EBF4	SRP14
ASXL3	ANK2
TCF4	MDM2
MDM2	NCOA6
KHDRBS2	FOXP2
KHDRBS2	KDM5B
SNW1	POGZ
SRP14	KMT2A
PTEN	DHX57
SPAG9	SRSF11
GTF2IRD2	SLC25A6
PSMC5	SMARCA4
