AAAS	NDRG3
NDRG3	CCNG2
CCNG2	CNTROB
ANAPC7	GLTP
GLTP	OTUD3
GLTP	FBLN1
GLTP	OTUD4
RICS	MED12
RICS	HPS4
MED12	ST8SIA2
CNTROB	DARS2
CNTROB	GEMIN2
DARS2	RNF216
RNF216	ST8SIA2
GEMIN2	LRRN3
ST8SIA2	LARP1B
ST8SIA2	EXOC4
ST8SIA2	PHKG2
ST8SIA2	STK38
AACS	SLC7A1
AACS	CCDC53
AACS	HK1
AACS	SLC35C2
SLC7A1	MEX3C
SLC7A1	KAT5
DTNB	SLC35C2
DTNB	G6PC3
DTNB	SIPA1L2
DTNB	TFIP11
SLC35C2	IQCG
SLC35C2	SUCLG2
EPB41L2	MEX3C
EPB41L2	GNE
EPB41L2	PTPRK
G6PC3	NBN
HK1	ATP6V1H
HMGXB3	KAT5
HMGXB3	OAZ2
KAT5	THOP1
IQCG	MSTO1
THOP1	ANO5
THOP1	ARHGDIA
THOP1	CPSF3
MEGF10	SIPA1L2
MEGF10	MRPS23
SIPA1L2	BLVRA
OAZ2	MRPS24
OAZ2	PCYOX1
RIMKLB	PIGF
PIGF	AVL9
STX10	TFIP11
STX10	HDHD2
SUCLG2	PRKACB
CHST3	PHKA2
CHST3	CRISPLD1
PHKA2	MRPS5
EBF4	SPTBN1
EBF4	PTPN12
SPTBN1	COG6
SPTBN1	INPP4A
SPTBN1	FAM32A
MRPS5	CXORF23
BCAT2	RNF111
BCAT2	NPM1
BCAT2	PKN1
RNF111	CXORF23
RNF111	STAT1
CCDC91	LIG3
CCDC91	GPRASP2
LIG3	INTS2
ECHS1	DIS3
ECHS1	LSM2
ECHS1	FAM161A
DIS3	SPRY2
DIS3	DDX50
SELI	STAT1
SELI	MRPL1
STAT1	PLS3
CXORF23	HIATL1
CXORF23	C15ORF57
CXORF23	FAM117B
BLVRA	GLTSCR2
ORMDL2	IMP3
ORMDL2	CEP290
IMP3	LAGE3
IMP3	H1FX
IMP3	RMND1
IMP3	GTF2E2
GNE	PDE4B
GNE	CNBP
NCAPD3	PAPOLA
NCAPD3	ATP6AP2
PAPOLA	RECQL4
NDUFA6	RECQL4
RECQL4	ASB8
PTPRK	CDC42BPA
RGS2	ACACB
RGS2	C2ORF47
ACACB	LATS1
ACACB	ITSN2
ACACB	OTUB2
ACACB	PILRA
ADIPOR2	PEX19
PEX19	SLC35E3
PEX19	DNAJC19
PEX19	LRP12
PEX19	RAPH1
LEPROT	C15ORF57
C15ORF57	ANAPC4
C15ORF57	KIAA1841
SLC35E3	MED24
SLC35E3	SATB1
SLC35E3	NCAPG2
SLC35E3	PAPD4
SLC35E3	C14ORF159
SLC35E3	PLEKHG4B
AFTPH	ATP6V1H
ATP6V1H	C6ORF203
C6ORF203	PIAS3
C6ORF203	ATRAID
C6ORF203	NDUFS1
CLU	MRPS24
MRPS24	TACC2
COL9A1	PRKACB
COL9A1	ACLY
COL9A1	NUP62
PRKACB	CSE1L
HIATL1	FRMD4A
ANO5	SETDB1
ANO5	SYT17
ANO5	GBAS
SETDB1	CCDC6
IFT122	POU6F1
POU6F1	DNAJC18
POU6F1	BSDC1
NONO	DFFA
DFFA	ACAT1
PCYOX1	BICC1
CCDC6	TIGD1
CCDC6	SLC27A1
CCDC6	CHMP2B
STRA13	ARHGDIA
STRA13	CHAF1A
STRA13	GPR137C
STRA13	MTX1
ARHGDIA	DENR
ARHGDIA	ATP8B2
ARHGDIA	DENND5B
ARHGDIA	FKBP8
ARHGDIA	MBNL2
FAM161A	PDXDC1
SHARPIN	ITSN2
ITSN2	OBSL1
ITSN2	CCDC109B
GLTSCR2	ETFA
GLTSCR2	GNA12
LATS1	DENR
LATS1	SUMO2
DENR	HSDL1
OBSL1	RRAS2
TACC2	BTG3
TACC2	TGIF1
AVL9	MVK
AVL9	FAM122B
ANKRD36	MOCS2
MOCS2	AP1S2
C2CD3	HDHD2
HDHD2	PSMA3
HDHD2	NAP1L1
AADAT	CC2D1A
AADAT	PRKAB1
CC2D1A	ATG5
CC2D1A	PCM1
CC2D1A	SPATA5
CC2D1A	KCNA3
ATG5	DAG1
ATG5	THAP9
DAG1	BLM
DAG1	CNTNAP2
DAG1	FEM1C
DAG1	COX6A1
BAG5	BRIP1
BAG5	INPP5F
BAG5	RAD1
BRIP1	HEBP1
BRIP1	SYS1
BLM	ANP32E
BLM	PTTG1
CKS2	CSMD2
CKS2	DHFR
CSMD2	SNX12
CSMD2	SFPQ
CSMD2	TIMM22
CSMD2	DCUN1D1
CSMD2	RNF149
CSMD2	THSD4
CNTNAP2	FBXO25
CNTNAP2	PTPN18
SNX12	MUS81
FEM1C	DUS1L
FEM1C	CHPT1
FEM1C	MED27
MUS81	CAMKK2
MUS81	TFAP2C
CAMKK2	ANKRD20A4
CAMKK2	SLC1A3
PRKAB1	IFI27L1
PSMD5	KLF10
PSMD5	EXOSC8
KLF10	KDSR
KLF10	EIF4B
RNASEH1	DLGAP1
DLGAP1	F11R
DLGAP1	LGMN
DLGAP1	MAP2
THAP9	SUDS3
HEBP1	MTX3
HEBP1	GATAD2B
C9ORF24	SUDS3
SUDS3	NOP16
CENPF	ANKRD13B
ANKRD13B	CLSPN
CHPT1	C5ORF22
C5ORF22	SNRNP70
C5ORF22	CHUK
C5ORF22	SLC43A3
GTF2H2	GTF2H1
GTF2H1	METAP1
GTF2H1	POLE3
GTF2H1	NOG
KDSR	MYBL2
KDSR	CCZ1
MED27	BCAT1
MTX3	ITPRIPL1
MTX3	EFCAB14
NUDCD3	RAD1
NUDCD3	PNPT1
SUCO	MRPL30
SUCO	SPATS2L
MRPL30	CWC22
MRPL30	SMAD3
SYS1	PDCD10
PGM2	CREB3
PGM2	PIGU
PGM2	CCDC47
PGM2	CLSPN
PGM2	COX11
CREB3	COMMD4
CREB3	PSEN1
CREB3	SEMA4B
ANKRD20A4	ANKRD20A2
CAST	SFPQ
CAST	PGD
CAST	EMX1
SFPQ	EI24
TFAP2C	CFLAR
CRYZ	L3MBTL3
L3MBTL3	POLR3K
CYFIP2	PTPN18
CYFIP2	KBTBD6
PTPN18	NANS
PTPN18	SLC26A6
PTPN18	SGK3
PTPN18	HKIAA0174H4E
PTPN18	RHPN1
PTPN18	OAZ1
MTCH1	SLC26A6
NANS	RGMA
PSMA5	POLE
PSMA5	NELFE
POLE	GLDC
SEC24B	CCDC109B
SEC24B	BBS1
CFLAR	PLA2G12A
CFLAR	HMGCL
DCTPP1	METTL23
METTL23	METRN
DCUN1D1	ERCC4
EI24	LPIN2
EXOSC5	RNF149
EXOSC5	HNRNPAB
GLDC	THSD4
GLDC	DDX5
HSD17B12	PLA2G12A
HSD17B12	IKBKB
HSD17B12	INO80E
PLA2G12A	INHBB
PLA2G12A	QKI
PLA2G12A	SH3GL1
IKBKB	PLAA
IKBKB	IREB2
METRN	PTGIS
METRN	C11ORF70
SNRNP70	PON2
SNRNP70	BCL11B
CHUK	MYH9
MYBL2	SVIP
SLC43A3	DHX34
ANKRD20A2	FUT11
ANKRD20A2	NRG1
INHBB	CHIC2
INHBB	MEST
INO80E	NUAK2
INO80E	RBL2
INO80E	B3GALNT1
INO80E	RABL2A
INO80E	PDCD4
INO80E	CNOT6L
NUAK2	AHSA2
SH3GL1	C20ORF12
SH3GL1	ABCE1
SH3GL1	POLR1D
EPHA5	C12ORF65
C12ORF65	SKIL
FAM127A	EFCAB2
EFCAB2	CNPY3
CCZ1	KATNBL1
CCZ1	PRR11
EIF4B	RFFL
HMGCL	CHAF1B
HMGCL	CHCHD5
HMGCL	ITM2C
SVIP	DCAF7
SVIP	GLRX3
SVIP	CLK1
F11R	KIAA0100
KIAA0100	SCAI
KIAA0100	PHF2
LGMN	GNAS
MAP2	EIF4H
DDOST	NOP16
DDOST	SCHIP1
NOP16	HEXA
AAED1	ALKBH4
AAED1	CIRH1A
ALKBH4	GBF1
ALKBH4	C1GALT1C1
ABHD14A	MESDC2
ABHD14A	CPT1C
ABHD14A	PAQR4
ABHD14A	SDCBP
MESDC2	MAST1
MESDC2	BEX2
GBF1	C18ORF21
GBF1	DCHS1
GBF1	PLXNB2
C1GALT1C1	SCUBE1
CIRH1A	KEAP1
CPT1C	ASB6
CPT1C	ELAVL3
CPT1C	NIPA2
CPT1C	OXSR1
DCHS1	SULT1A3
DCHS1	ASH2L
DCHS1	FAM118B
DCHS1	PRMT7
DCHS1	PRPF31
SULT1A3	CHID1
KEAP1	DCTN5
KEAP1	ERAL1
KEAP1	ISCA1
KEAP1	MCM2
LRPAP1	POLK
LRPAP1	TFDP2
POLK	GTF3C5
POLK	SYT14
LSM4	LCOR
LCOR	STARD7
LCOR	SLC25A36
LCOR	CSTF3
MAST1	CDC34
ARIH1	SLBP
SLBP	C1D
BPGM	OXSR1
BPGM	ARL2BP
BPGM	NDUFB8
ELAVL3	GPR108
ELAVL3	C16ORF62
FLCN	NIPA2
NIPA2	SCAMP4
FTSJ2	CKS1B
FTSJ2	ATP5J2
FTSJ2	MCM6
CKS1B	PRC1
GNAO1	PAQR4
PAQR4	RECQL
KIAA1683	PDLIM4
KIAA1683	TAF13
KIAA1683	TIMELESS
PDLIM4	MAF1
PDLIM4	PGLS
CDC34	ARL4C
RGS20	FBXO36
RGS20	LRP6
RGS20	RFC2
FBXO36	GALNT7
FBXO36	IQGAP1
FBXO36	LGALS8
FBXO36	NEK6
FBXO36	STRADA
FBXO36	STYXL1
SDCBP	DEGS1
SREBF1	ISY1
ISY1	LRRC1
ISY1	MRPL24
ISY1	IDS
APITD1	PRPF31
APITD1	EDC3
APITD1	NADSYN1
ASH2L	GNG5
ASH2L	GPR22
C18ORF21	CSRNP2
CHID1	CUL4A
CHID1	SULT1A4
CHID1	PSMD13
CUL4A	EPB41L5
CSRNP2	REEP3
FAM118B	PIH1D1
PRMT7	FMR1
PRMT7	HECA
BNIP1	C12ORF51
BNIP1	SSBP4
C12ORF51	NDRG4
C12ORF51	SYNRG
CDT1	FXR2
CDT1	MFGE8
CDT1	MCEE
CDT1	CCDC92
FXR2	SIGMAR1
FXR2	ELAC2
CHD1L	MPG
CHD1L	DHRS1
MPG	RAB3GAP1
MPG	GTPBP3
MPG	DPP6
E2F3	MAF1
E2F3	PLXNB1
MAF1	NDRG4
MAF1	PTPN1
MAF1	ERLIN1
GPR108	OSBPL2
GTPBP3	PTPN1
GTPBP3	LMNA
GTPBP3	GMFB
PTPN1	NUSAP1
PTPN1	SCARB1
PTPN1	THRAP3
NUSAP1	HMGB2
PGLS	TRAIP
PGLS	KDM3B
GTF3C5	LYRM1
GTF3C5	C11ORF57
SYNRG	PIM1
SYNRG	LRP8
ARL2BP	IDH3B
FUTMEM48	NDUFB8
FUTMEM48	SAFB
NDUFB8	KLF6
NDUFB8	EIF1AD
NDUFB8	SSR1
AARSD1	TAF13
AARSD1	COX6C
AARSD1	NDN
AARSD1	RLF
TAF13	GCC2
FEZF2	DNAJB4
FEZF2	PTCH1
DNAJB4	ARL4C
DNAJB4	ABCC5
DNAJB4	NDN
FMR1	MITD1
CASC5	PTGIS
PTGIS	LRRC1
PTGIS	PPP1CA
DCTN5	CPNE1
GCC2	MRPS21
ISCA1	PRKCA
ISCA1	POLR2E
LRRC1	PGAM4
LRRC1	MTX2
LRRC1	MRPS26
LRRC1	SLC25A11
MCM2	CNTLN
STARD7	SLC25A40
LYRM1	CDK2
LYRM1	SHFM1
ARL4C	HERC2
C12ORF66	SPRED1
C12ORF66	ACIN1
SPRED1	ALPK1
SPRED1	RAB8A
C1D	FOXO3
FOXO3	PLEKHG2
C11ORF57	CLOCK
KCTD20	NAP1L3
KCTD20	IGF2BP1
NAP1L3	CALCOCO1
SPG11	C16ORF62
C16ORF62	RBX1
BAP1	TERF2IP
BAP1	TAF2
TERF2IP	TBCCD1
CLEC11A	FAM181A
FAM181A	DNER
FAM181A	CRLS1
FAM181A	TBCCD1
CRLS1	SMG6
CRLS1	PCID2
CRLS1	PPAT
CRLS1	SENP2
SMG6	PLXNB1
SMG6	NSUN5
SMG6	ARID5A
CSNK1D	GK
CSNK1D	CMTR2
GK	HSPA4
GK	ITFG1
DNER	TCEA2
PCID2	TET3
PCID2	RNF165
TBCCD1	G3BP2
TET3	MKRN1
TET3	EIF2AK2
AAK1	DNMT1
DNMT1	CHEK2
CHEK2	NUP37
CHEK2	ELF2
KIF2C	BUB1
KIF2C	PLK1
BUB1	KNSTRN
BUB1	CCNB1
BUB1	CDCA3
BUB1	RBBP5
BUB1	LYSMD1
ARGLU1	NUP37
ARGLU1	NIPBL
NUP37	COX17
NUP37	RNF185
KNSTRN	SLC35F1
KNSTRN	IVNS1ABP
CCNB1	GAS2L3
CCNB1	MCM10
CCNB1	CDCA8
SLC35F1	BRD8
PBK	PLK1
PBK	KIAA0101
DDHD1	BUB1B
DDHD1	CHD4
BUB1B	GAS2L3
BUB1B	KIF4A
GPBP1L1	PDE4DIP
PDE4DIP	AZI2
PDE4DIP	C11ORF30
AZI2	MTMR4
AZI2	ARHGEF39
SAP30L	PMFBP1
PMFBP1	SUMO3
ALDH18A1	COMMD5
ALDH18A1	CCDC43
ALDH18A1	SERTAD4
COMMD5	ANKLE2
COMMD5	SCG5
COMMD5	EID2
COMMD5	FABP7
COMMD5	KCNQ2
ANKLE2	CDK9
ANKLE2	MATR3
ASNS	MAP3K4
ASNS	BIRC2
ASNS	STAG1
MAP3K4	DCLK1
C3ORF38	BCR
BCR	PPM1E
SCG5	PPM1E
SCG5	FAM19A2
FAM19A2	CDC14A
CDC14A	SAMD4B
CDC14A	SLC15A4
SAMD4B	DOPEY2
COX10	PHC2
COX10	SLC25A12
PHC2	KCNQ2
FBXO22	PON2
PON2	RC3H2
PON2	MAPK1IP1L
BBS4	FAM168B
FAM168B	NME3
FAM168B	CARKD
FAM168B	NUCKS1
FAM168B	MAP3K1
MATR3	METAP2
DCLK1	BTBD3
DCLK1	AATF
DCLK1	POMGNT1
HERC1	GMCL1
HERC1	NPAS3
GMCL1	EXOC6B
GMCL1	FAT4
GMCL1	SLC37A3
SRP19	BCL11B
RC3H2	IPO8
IPO8	NUP153
GDI2	LEF1
LEF1	SLC3A2
LEF1	BRD2
LEF1	ELAVL1
SLC15A4	CTTN
SLC25A17	GPR89A
GPR89A	SLC25A12
DCAF10	DNAJB5
DNAJB5	ATXN7
DNAJB5	SPIRE1
DNAJB5	DPP10
DNAJB5	KDM5C
INPP5K	CBL
CBL	TCEAL2
CBL	LBH
CBL	GLTSCR1L
DOPEY2	SNX26
C1ORF198	MUT
MUT	SEC61A2
MUT	KLRAQ1
MUT	AQR
MUT	PHACTR4
CLIC4	SNX25
CLIC4	HIPK1
CLIC4	RRM2
SNX25	CBFA2T2
SREBF2	HKIAA0174H1D
HKIAA0174H1D	LMBRD1
HKIAA0174H1D	CNOT6
HKIAA0174H1D	C1GALT1
AAMP	PIBF1
AAMP	CENPQ
PIBF1	SPECC1
PIBF1	SOX9
PIBF1	EXOSC2
CDC42EP4	SIKE1
SIKE1	TBL3
SIKE1	KLC4
CENPQ	TBL3
OMA1	DHRS1
SPECC1	C1ORF43
SPECC1	FARSB
TBL3	ANKRD39
SOX9	TCEB1
C1ORF43	RRP1B
C1ORF43	H2AFY2
C1ORF43	AMN1
FANCA	ANKRD39
ANKRD39	CMBL
KLC4	ATG16L1
POLDIP3	ANTXR1
POLDIP3	RDH11
ANTXR1	PHLPP1
ANTXR1	FXR1
EIF4EBP1	EVA1C
EVA1C	METTL14
EVA1C	HDHD1
LUC7L3	ATG16L1
MAGOHB	CLTA
CLTA	MRPS26
PHLPP1	SETMAR
CCNB1IP1	HERPUD1
CCNB1IP1	C2ORF64
HERPUD1	THOC6
HERPUD1	SCP2
CMBL	GTF2IRD1
C2ORF64	MMAB
C2ORF64	LEO1
C2ORF64	POP5
C2ORF64	ARPC2
MMAB	DHCR24
KIAA0922	ATP1B3
KIAA0922	HMGXB4
ATP1B3	FOXRED2
RRP1B	FAM160B2
RRP1B	GOLGA6L4
RRP1B	CTSD
H2AFY2	NUP50
H2AFY2	DECR1
AKAP11	FAM214A
AKAP11	MAGEA1
FAM214A	MTSS1
FAM214A	EIF3E
FAM214A	ILF2
ARID5B	EHMT2
ARID5B	CDC37
EHMT2	HUS1
EHMT2	GPN3
EHMT2	RNF138
MTSS1	CAPN7
MAGEA1	MAGEA1B
MAGEA1	MAP1A
MAGEA1B	HIF1A
CENPBD1	FAM131A
CENPBD1	HUS1
CENPBD1	KIAA0831
CENPBD1	KIAA0753
FAM131A	SNAP91
HUS1	HSPA8
FAM134A	CWC22
FAM134A	CCNDBP1
FAM134A	TMED10
CWC22	GNL2
GPN3	ELOVL5
GPN3	MCAM
GPN3	PGM3
BMP2K	COMMD4
BMP2K	DNAJA1
CCND1	GOSR2
CCND1	MRPS34
CCND1	CBS
GOSR2	EMC8
GOSR2	ELMOD3
CNIH1	FBXW2
CNIH1	SMURF2
FBXW2	SYNGR1
FBXW2	PRELID2
PSEN1	MARS
PSEN1	MANSC1
DCP2	MED10
MED10	PDDC1
GADD45GIP1	RBM14-RBM4
GADD45GIP1	PARD6B
RBM14-RBM4	CBS
TRAIP	LDHA
TRAIP	RHBDD2
MDH1	MRPS34
PDDC1	ACOT7
PARD6B	PLD3
CBS	APLP1
CBS	APEH
CBS	PRELID2
AARS	IER3IP1
AARS	KIF5A
IER3IP1	SIGMAR1
IER3IP1	MAPK10
AGPAT4	C5ORF45
C5ORF45	EIF4A3
ARHGAP19	NOL10
ARHGAP19	LRCH3
ARHGAP19	DHX40
NOL10	NDUFA9
NOL10	GPAM
NOL10	ECHDC1
ARL6IP4	IFT57
IFT57	BRF1
ARV1	ARL16
ARV1	EXT2
ARV1	METTL13
ARV1	PLLP
ARL16	SLC25A29
ARL16	SULT1C4
ARL16	MRPL12
ATP7A	PHACTR2
PHACTR2	GBA2
PHACTR2	SLC35E1
PHACTR2	ADPRHL2
PHACTR2	AKAP6
PHACTR2	GNG3
PHACTR2	GPAM
PHACTR2	MSH5-SAPCD1
DCK	COL4A3BP
DCK	DHRS7
COL4A3BP	SND1
COL4A3BP	METTL5
COL4A3BP	SH3BGRL3
EXT2	SMOX
EXT2	HNRNPU
SIGMAR1	SLC25A29
SIGMAR1	BRF1
KIF5A	RBMXL1
NOTCH1	RRAGC
NOTCH1	CTNNAL1
RRAGC	METT10D
BSDC1	SRFBP1
SRFBP1	SMOX
SRFBP1	TAF8
SRFBP1	CWF19L2
SRFBP1	TBCD
EIF4A3	ITGAE
CAB39L	KCNH7
CAB39L	ABTB2
CAB39L	PPFIA2
KCNH7	NAT10
KCNH7	GFOD2
KCNH7	FAT4
KCNH7	KLF12
CC2D2A	ASNSD1
CC2D2A	PIAS1
ASNSD1	DIS3L2
ASNSD1	RRAGD
ASNSD1	KIAA0355
ASNSD1	SPIN1
DAP	SND1
DAP	MAP4K4
SND1	FAT4
SND1	NUP153
ITGAE	AKAP6
ITGAE	GCSH
ITGAE	HEATR6
ITGAE	ANP32B
FAT4	IPO11
LRCH3	CRIPT
LRCH3	DPM3
NES	THOC7
