AACS	FOCAD
FOCAD	PIGT
FOCAD	ARID3C
FOCAD	LNPEP
PIGT	SYNGAP1
LNPEP	PPM1L
SYNGAP1	GSTO2
SYNGAP1	COX18
SYNGAP1	GPT2
SYNGAP1	IDH3A
AAMP	FAM134C
FAM134C	TARSL2
FAM134C	SWT1
DAG1	DR1
DR1	SWT1
SWT1	GNPAT
SWT1	MDC1
TARSL2	PMS2
PLIN3	TBCC
PLIN3	GLUD2
TBCC	ARHGEF12
TBCC	ITFG1
SFMBT1	RALGPS1
SFMBT1	TBP
RALGPS1	ARAF
RALGPS1	HK2
RALGPS1	DDX27
RALGPS1	CEP70
MYBBP1A	FERMT2
FERMT2	C18ORF32
FERMT2	DDX3Y
FERMT2	NPAT
FERMT2	KDELR1
PMS2	CAD
PMS2	AKT1
PMS2	DMXL1
PMS2	SEC23B
CDKAL1	GNPAT
FAM73A	MDC1
MDC1	PKP4
MDC1	KIAA0825
ABCB7	FAM98B
ABCB7	C17ORF62
ABCB7	FOPNL
ABCB7	NUDCD2
FAM98B	KIAA0825
FAM98B	FBRS
FAM98B	KLF12
FAM98B	SLC38A7
C17ORF62	NAPG
KIAA0825	AGPAT4
AGPAT4	CLK2
KDELC2	NMD3
KDELC2	ALG14
NMD3	SIN3A
NMD3	RTTN
KLF12	DDX19B
KLF12	REPS1
SLC38A7	MYBL2
SLC38A7	GSKIP
SLC38A7	RNF2
ABCC5	NOTCH1
ABCC5	AGBL3
NOTCH1	PRAF2
NOTCH1	LIMS1
AGBL3	RAB1B
AGBL3	SUPT5H
AGBL3	CEP76
AGBL3	GPATCH4
AGBL3	MRPS35
PRAF2	SBK1
PRAF2	BSDC1
PRAF2	CPSF3
PRAF2	INTS2
CEP76	15-Sep
CEP76	B3GALNT2
GPATCH4	CENPF
KPNA5	METTL2B
METTL2B	CHMP1A
METTL2B	METTL2A
CHMP1A	ANAPC4
CHMP1A	PRKAB1
CHMP1A	KIAA1632
CHMP1A	FLJ35220
CHMP1A	STAT5B
MRPS35	DHX29
15-Sep	SCAMP3
15-Sep	RNF40
15-Sep	SUCLG1
SBK1	KATNAL1
SBK1	SPRED2
SBK1	MAPK8IP3
SBK1	POLE4
KATNAL1	MRPS30
KATNAL1	TAMM41
SPRED2	NSMAF
SPRED2	HDGF
ABCF1	NDN
NDN	CCDC109B
MAPK8	DUSP1
MAPK8	EIF4ENIF1
MAPK8	PDE7A
DUSP1	PGS1
DUSP1	PIGK
DUSP1	RND2
DUSP1	DDI2
CCDC109B	POLR2M
CCDC109B	EZH1
PGS1	KIF23
PGS1	LRRC59
PIGK	FGFR1OP
PIGK	PCBD2
RND2	PPOX
RND2	SLC5A3
POLR2M	GRK4
POLR2M	RGPD1
ABI1	RBM48
RBM48	FBXO22
FBXO22	GAPVD1
GAPVD1	MTRR
ABR	STXBP4
ABR	RNF44
STXBP4	RNF170
STXBP4	PREX1
AGPAT6	HDAC6
AGPAT6	SLC5A6
HDAC6	CCDC12
HDAC6	HDAC5
HDAC6	AGXT2L2
HDAC6	PRH1
EIF4A3	AKIRIN2
EIF4A3	POU6F1
AKIRIN2	LIMA1
AKIRIN2	RABGAP1L
RNF44	SYT1
RNF170	SSBP4
RNF170	ATP6V0E2
RNF170	HSDL1
RNF170	ASTN1
HDAC5	ATP13A3
SLC5A6	SPPL2A
SSBP4	APPL1
SSBP4	MBTD1
LIMA1	KIAA0892
LIMA1	AQR
POU6F1	KIAA0368
POU6F1	IRS2
POU6F1	NIT1
RABGAP1L	CCDC127
SYT1	MAD2L2
ATP6V0E2	PTPN2
LAMA1	CASD1
CASD1	RCHY1
CASD1	COG5
CASD1	LAMA5
PREX1	MCU
HSDL1	NFATC3
HSDL1	IMP3
HSDL1	GATAD1
ABT1	MAP1S
MAP1S	MAP3K3
MAP3K3	SNAP47
SNAP47	ATMIN
ACADVL	GNL1
ACADVL	RBBP5
GNL1	KIAA1161
KIAA1161	ADAM22
KIAA1161	NPTX1
KIAA1161	SNRNP25
NHS	RBBP5
NHS	CPSF4
NHS	LYRM5
NHS	PDCL
NHS	TAF9B
ADAM22	MVD
ADAM22	CYFIP2
MVD	GSTM5
MVD	SMG6
MVD	BMPR2
INSIG1	BTG2
INSIG1	FEM1B
BTG2	SLC25A1
MYD88	SPDYE2B
SPDYE2B	FEM1C
SPDYE2B	SPDYE2
NPTX1	MPHOSPH10
GK	EIF2B2
GK	CAMK2A
GK	PKD1
GK	STAT3
EIF2B2	ACTN4
EIF2B2	CDO1
EIF2B2	CTNND2
